ev_001	ev_002	ev_003	ev_004	ev_005	ev_006	ev_007	ev_008	ev_009	ev_010	ev_011	ev_012
-0.01747606928589279	0.0	-1.3955156335404557e-05	-0.00020883480424263524	0.0	-0.06896299588619326	-0.0023414834175553216	0.0	0.2756164667429067	0.0	0.10154918514575594	-0.056756048191871786
-0.006800676043950816	0.0	-1.9337687145248305e-07	-5.567696067425557e-05	0.00031091241042847863	-0.0384887219317866	-0.0007292912761530081	0.0	0.07791140812562211	0.0	0.3273277751659705	-0.09024054030011434
-0.0023416167919930115	0.0	0.0	-1.3956161903419521e-05	0.10153715425082765	-0.017476843390483873	-0.00020884851666718416	0.0	-0.05675198667518408	0.0	0.27562511716230514	-0.06896456703055437
-0.0007293362526898259	0.0	0.0	-1.9385390152892784e-07	0.32732211775945064	-0.006801024857349625	-5.568080697521133e-05	0.0	-0.09024068633909633	0.0	0.07792079379426571	-0.038490080515158266
-0.00020886222909173482	0.0	0.0	0.0	0.2756337675817047	-0.0023417501664307182	-1.3957167471434612e-05	0.0	-0.0689661381749157	0.0	-0.05674792515849586	-0.01747761749507505
-5.568465327616661e-05	0.0	0.0	0.0	0.07793017946290812	-0.000729381229226638	-1.9433093160531252e-07	0.0	-0.038491439098529756	0.0	-0.09024083237807831	-0.006490830760757002
-1.3958173039449576e-05	0.0	0.0	0.0	-0.056743863641808154	-0.00020887594151628374	0.0	0.0	-0.017478391599666136	0.0	-0.06896770931927682	0.09917120892010114
0.0003101633518111475	0.0	0.0	0.0	-0.0902409784170603	-5.56884995771224e-05	0.0	0.0	-0.006801722484147202	0.0	-0.038492797681901426	0.3265813767406481
0.10150106156603965	0.0	0.0	0.0	-0.06896928046363815	-1.3959178607464674e-05	0.0	0.0	-0.0023420169153061158	0.0	-0.01747916570425732	0.275442178766562
0.3273051455398917	0.0	0.0	0.0	-0.0384941562652731	-1.9528499175820922e-07	0.0	0.0	-0.0007294711823002741	0.0003101734095542708	-0.006802071297546013	0.07789325845431737
0.2756597188399025	0.0	0.0	0.0	-0.01747993980884851	0.0	0.0	0.0	-0.00020890336636538524	0.10148903067110975	-0.0023421502897438234	-0.05674970079260714
0.0779583364688391	0.0003099886593357123	0.0	0.0	-0.0068024201109448245	0.0	0.0	0.0	-5.569619217903398e-05	0.32729948813337184	-0.0007295161588370922	-0.09024146625704614
-0.05673167909174348	0.10147699977618006	0.0	0.0	-0.0023422836641815285	0.0	0.0	0.0	-1.3961189743494851e-05	0.275668369259302	-0.00020891707878993574	-0.06897242275236079
-0.09024141653400629	0.32729383072685203	0.0	0.0	-0.0007295611353739094	0.0	0.0	0.0	0.0003096076700652461	0.07796772213748258	-5.57000384799897e-05	-0.03849687343201642
-0.06897399389672212	0.2756770196787016	0.0	0.0	-0.00020893079121448647	0.0	0.0	0.0	0.10146496888125017	-0.056727617575055234	-1.3962195311509949e-05	-0.017481488018030865
-0.03849823201538773	0.07797710780612377	0.0	0.0	-5.570388478094448e-05	0.0	0.0	0.0003096191588986474	0.32728817332033366	-0.09024156257298824	-1.967160819874198e-07	-0.00680311773774235
-0.01748226212262185	-0.056723556058368055	0.0	0.0	-1.3963200879524783e-05	0.0	0.0	0.10145293798632343	0.27568567009809897	-0.06897556504108304	0.0	-0.0023425504130569087
-0.0068034665511411616	-0.09024170861197024	0.0	0.0	-1.9719311206386816e-07	0.0	0.0	0.32728251591381374	0.07798649347476742	-0.0384995905987594	0.0	-0.0007296510884475338
-0.0023426837874946163	-0.06897713618544438	0.0	0.0	0.0	0.0	0.0	0.2756943205174986	-0.0567194945416798	-0.017483036227213034	0.0	-0.00020895821606358437
